Date,Symbol,Price,Volume
2017-09-28,MSFT,73.497992805755,10814063.0
2017-09-27,MSFT,73.47809352518,18934048.0
2017-09-26,MSFT,72.891064748201,17105469.0
2017-09-25,MSFT,72.891064748201,23502422.0
2017-09-22,MSFT,74.035273381295,13969937.0
2017-09-21,MSFT,73.83628057554,19038998.0
2017-09-20,MSFT,74.562604316547,20415084.0
2017-09-19,MSFT,75.060086330935,15606870.0
2017-09-18,MSFT,74.781496402878,22730355.0
2017-09-15,MSFT,74.930741007194,37901927.0
2017-09-14,MSFT,74.393460431655,15373384.0
2017-09-13,MSFT,74.831244604317,12998629.0
2017-09-12,MSFT,74.303913669065,14003880.0
2017-09-11,MSFT,74.383510791367,17428067.0
2017-09-08,MSFT,73.607438848921,14474383.0
2017-09-07,MSFT,73.965625899281,17165518.0
2017-09-06,MSFT,73.03035971223,15945136.0
2017-09-05,MSFT,73.239302158273,21432599.0
2017-09-01,MSFT,73.56764028777,21593192.0
2017-08-31,MSFT,74.393460431655,26688077.0
2017-08-30,MSFT,73.637287769784,16826094.0
2017-08-29,MSFT,72.682122302158,11325418.0
2017-08-28,MSFT,72.463230215827,14112777.0
2017-08-25,MSFT,72.45328057554,12574503.0
2017-08-24,MSFT,72.323935251799,15980144.0
2017-08-23,MSFT,72.353784172662,13586784.0
2017-08-22,MSFT,72.791568345324,14183146.0
2017-08-21,MSFT,71.786654676259,17656716.0
2017-08-18,MSFT,72.124942446043,18215276.0
2017-08-17,MSFT,72.035395683453,21834250.0
2017-08-16,MSFT,73.279100719424,17814317.0
2017-08-15,MSFT,72.85126618705,17791179.0
2017-08-14,MSFT,72.831472336707,19756773.0
2017-08-11,MSFT,71.752707493019,21121250.0
2017-08-10,MSFT,70.673942649331,23153711.0
2017-08-09,MSFT,71.723016717505,20401071.0
2017-08-08,MSFT,72.039718322991,21446993.0
2017-08-07,MSFT,71.653738241305,18582345.0
2017-08-04,MSFT,71.930852146105,22412719.0
2017-08-03,MSFT,71.406315112019,17937522.0
2017-08-02,MSFT,71.515181288904,26405096.0
2017-08-01,MSFT,71.831882894391,19060885.0
2017-07-31,MSFT,71.970439846791,23151962.0
2017-07-28,MSFT,72.287141452278,17472880.0
2017-07-27,MSFT,72.405904554335,35518251.0
2017-07-26,MSFT,73.286730894594,15850344.0
2017-07-25,MSFT,73.425287846995,21522189.0
2017-07-24,MSFT,72.841369261879,20836422.0
2017-07-21,MSFT,73.029410840136,45302930.0
2017-07-20,MSFT,73.474772472852,34174677.0
2017-07-19,MSFT,73.098689316337,21769229.0
2017-07-18,MSFT,72.544461506735,26150272.0
2017-07-17,MSFT,72.593946132593,21481069.0
2017-07-14,MSFT,72.02982139782,25689303.0
2017-07-13,MSFT,71.030231955503,20149208.0
2017-07-12,MSFT,70.416622594873,17382861.0
2017-07-11,MSFT,69.268579274985,16880205.0
2017-07-10,MSFT,69.258682349814,14903400.0
2017-07-07,MSFT,68.744042240898,15897154.0
2017-07-06,MSFT,67.863215900639,20776555.0
2017-07-05,MSFT,68.367959084383,20174523.0
2017-07-03,MSFT,67.467338893781,16164331.0
2017-06-30,MSFT,68.219505206811,23039328.0
2017-06-29,MSFT,67.784040499267,28231562.0
2017-06-28,MSFT,69.080537696728,25226070.0
2017-06-27,MSFT,68.496619111612,24862560.0
2017-06-26,MSFT,69.803013234243,19308122.0
2017-06-23,MSFT,70.476004145902,23176418.0
2017-06-22,MSFT,69.535796254614,22222851.0
2017-06-21,MSFT,69.545693179786,19190623.0
2017-06-20,MSFT,69.189403873614,20775590.0
2017-06-19,MSFT,70.139508690073,23146852.0
2017-06-16,MSFT,69.278476200157,46911637.0
2017-06-15,MSFT,69.179506948442,25701569.0
2017-06-14,MSFT,69.545693179786,25271276.0
2017-06-13,MSFT,69.921776336301,24815455.0
2017-06-12,MSFT,69.060743846385,47363986.0
2017-06-09,MSFT,69.595177805643,48619420.0
2017-06-08,MSFT,71.203428146004,23982410.0
2017-06-07,MSFT,71.643841316133,21895156.0
2017-06-06,MSFT,71.772501343362,31220057.0
2017-06-05,MSFT,71.534975139247,29507429.0
2017-06-02,MSFT,71.020335030332,34586054.0
2017-06-01,MSFT,69.377445451871,21066468.0
2017-05-31,MSFT,69.120125397413,29538356.0
2017-05-30,MSFT,69.684250132186,16901792.0
2017-05-26,MSFT,69.248785424642,19644260.0
2017-05-25,MSFT,68.902393043641,21702912.0
2017-05-24,MSFT,68.061154404068,14422965.0
2017-05-23,MSFT,67.972082077525,15347877.0
2017-05-22,MSFT,67.744452798582,15484530.0
2017-05-19,MSFT,66.992286485551,26496478.0
2017-05-18,MSFT,67.012080335894,24789790.0
2017-05-17,MSFT,66.784451056951,29964198.0
2017-05-16,MSFT,68.694557615041,33250702.0
2017-05-15,MSFT,67.34625469337,30705323.0
2017-05-12,MSFT,67.297046557543,17073013.0
2017-05-11,MSFT,67.375779574867,27985424.0
2017-05-10,MSFT,68.212317883933,17842038.0
2017-05-09,MSFT,67.946593950465,22318181.0
2017-05-08,MSFT,67.84817767881,18446053.0
2017-05-05,MSFT,67.907227441803,18882845.0
2017-05-04,MSFT,67.720236525659,21421413.0
