State,Code,Name,Type,Visitors
AZ,MOCA,Montezuma Castle National Monument,National Monument,32513332.0
TX,SAAN,San Antonio Missions National Historical Park,National Historical Park,32032851.0
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,31878925.0
VA,NERI,New River Gorge National River,National River,31811848.0
AZ,CACH,Canyon de Chelly National Monument,National Monument,31616091.0
ND,THRO,Theodore Roosevelt National Park,National Park,31479563.0
MS,SHIL,Shiloh National Battlefield,National Battlefield,30903907.0
MA,SAMA,Salem Maritime National Historic Site,National Historic Site,30255154.0
CA,LAVO,Lassen Volcanic National Park,National Park,28290902.0
NC,WRBR,Wright Brothers National Memorial,National Memorial,27109570.0
NY,FIIS,Fire Island National Seashore,National Seashore,26946346.0
GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site,26618718.0
VI,VIIS,Virgin Islands National Park,National Park,25980135.0
UT,CARE,Capitol Reef National Park,National Park,25845196.0
UT,CEBR,Cedar Breaks National Monument,National Monument,25389889.0
FL,FOMA,Fort Matanzas National Monument,National Monument,24269348.0
MD,CATO,Catoctin Mountain Park,Other Designation,23843740.0
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,23496183.0
CO,COLM,Colorado National Monument,National Monument,23230064.0
WA,SAJH,San Juan Island National Historical Park,National Historical Park,23066952.0
SC,FOSU,Fort Sumter National Monument,National Monument,22549148.0
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,22470450.0
TN,FODO,Fort Donelson National Battlefield,National Battlefield,21869956.0
MA,LOWE,Lowell National Historical Park,National Historical Park,21836453.0
TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,21360933.0
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,21314334.0
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,20740061.0
CO,DINO,Dinosaur National Monument,National Monument,20604107.0
MD,ANTI,Antietam National Battlefield,National Battlefield,20419836.0
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,20238294.0
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore,19983228.0
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park,19476522.0
CA,REDW,Redwood National Park,National Park,19353209.0
GA,FOPU,Fort Pulaski National Monument,National Monument,19060284.0
DC,MLKM,"Martin Luther King, Jr., Memorial",Other Designation,18802093.0
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,18694177.0
DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,18678059.0
FL,BISC,Biscayne National Park,National Park,18615078.0
VA,PRWI,Prince William Forest Park,Park,18512459.0
IL,LIHO,Lincoln Home National Historic Site,National Historic Site,18363586.0
WY,DETO,Devils Tower National Monument,National Monument,18329938.0
FL,TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve,18018607.0
AK,DENA,Denali National Park,National Park,17923704.0
AK,DENA,Denali National Preserve,National Park,17923704.0
NC,FORA,Fort Raleigh National Historic Site,National Historic Site,17823602.0
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,17816900.0
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,17741336.0
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,17573474.0
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,17138757.0
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,16783758.0
FL,BICY,Big Cypress National Preserve,National Preserve,16439262.0
SC,KIMO,Kings Mountain National Military Park,National Military Park,16219712.0
MD,FOWA,Fort Washington Park,Other Designation,15939748.0
TX,BIBE,Big Bend National Park,National Park,15820237.0
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument,15738283.0
GA,FOFR,Fort Frederica National Monument,National Monument,15513013.0
VA,RICH,Richmond National Battlefield Park,National Battlefield Park,14893857.0
WA,NOCA,North Cascades National Park,National Park,14809679.0
NC,CALO,Cape Lookout National Seashore,National Seashore,14391636.0
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area,14298637.0
UT,CANY,Canyonlands National Park,National Park,13990095.0
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,13847406.0
NM,BAND,Bandelier National Monument,National Monument,13779272.0
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,13686363.0
CO,GRSA,Great Sand Dunes National Park,National Park,13526909.0
CO,GRSA,Great Sand Dunes National Preserve,National Preserve,13526909.0
ID,CRMO,Craters of the Moon National Monument,National Monument,13044205.0
MD,GREE,Greenbelt Park,Other Designation,12785203.0
PA,FONE,Fort Necessity National Battlefield,National Battlefield,12390571.0
CA,CHIS,Channel Islands National Park,National Park,12352355.0
AK,GLBA,Glacier Bay National Park,National Park,11949920.0
AK,GLBA,Glacier Bay National Preserve,National Preserve,11949920.0
FL,DESO,De Soto National Memorial,National Memorial,11426649.0
WA,ROLA,Ross Lake National Recreation Area,National Recreation Area,11335924.0
AZ,WUPA,Wupatki National Monument,National Monument,11163242.0
CA,MOJA,Mojave National Preserve,National Preserve,10594537.0
CA,PINN,Pinnacles National Park,National Park,10492968.0
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site,10342578.0
NY,FEHA,Federal Hall National Memorial,National Memorial,9876807.0
TN,STRI,Stones River National Battlefield,National Battlefield,9788152.0
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,9764783.0
NE,SCBL,Scotts Bluff National Monument,National Monument,9712303.0
WA,NEPE,Nez Perce National Historical Park,National Historical Park,9566104.0
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,9515314.0
MA,BOAF,Boston African American National Historic Site,National Historic Site,9225095.0
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,9151018.0
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,8978923.0
MN,VOYA,Voyageurs National Park,National Park,8861822.0
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,8787121.0
VA,GEWA,George Washington Birthplace National Monument,National Monument,8779227.0
FL,FOCA,Fort Caroline National Memorial,National Memorial,8345789.0
UT,TICA,Timpanogos Cave National Monument,National Monument,8286685.0
NY,SARA,Saratoga National Historical Park,National Historical Park,8228453.0
AK,SITK,Sitka National Historical Park,National Historical Park,7947795.0
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument,7866349.0
AZ,CAGR,Casa Grande Ruins National Monument,National Monument,7810317.0
GA,OCMU,Ocmulgee National Monument,National Monument,7558072.0
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site,7532506.0
MN,PIPE,Pipestone National Monument,National Monument,7531121.0
TX,CHAM,Chamizal National Memorial,National Memorial,7470898.0
TX,GUMO,Guadalupe Mountains National Park,National Park,7211673.0
MO,WICR,Wilson's Creek National Battlefield,National Battlefield,7157248.0
MD,PISC,Piscataway Park,Other Designation,7112797.0
AK,KEFJ,Kenai Fjords National Park,National Park,7067013.0
UT,RABR,Rainbow Bridge National Monument,National Monument,7007990.0
CA,LABE,Lava Beds National Monument,National Monument,6870346.0
SC,COWP,Cowpens National Battlefield,National Battlefield,6772190.0
AZ,WACA,Walnut Canyon National Monument,National Monument,6605855.0
GA,ANDE,Andersonville National Historic Site,National Historic Site,6513701.0
DC,PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,6442966.0
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,6315921.0
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site,6197119.0
SD,JECA,Jewel Cave National Monument,National Monument,6103253.0
CA,DEPO,Devils Postpile National Monument,National Monument,6079064.0
NY,GEGR,General Grant National Memorial,National Memorial,5959659.0
NY,SAHI,Sagamore Hill National Historic Site,National Historic Site,5778707.0
AZ,TUZI,Tuzigoot National Monument,National Monument,5706971.0
TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River,5661696.0
IN,GERO,George Rogers Clark National Historical Park,National Historical Park,5604410.0
DC,THIS,Theodore Roosevelt Island,National Memorial,5602184.0
AR,PERI,Pea Ridge National Military Park,National Military Park,5516360.0
AL,TUIN,Tuskegee Institute National Historic Site,National Historic Site,5487784.0
IA,EFMO,Effigy Mounds National Monument,National Monument,5185912.0
MA,NEBE,New Bedford Whaling National Historical Park,National Historical Park,5115941.0
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,5026369.0
OR,JODA,John Day Fossil Beds National Monument,National Monument,4958825.0
WA,WHMI,Whitman Mission National Historic Site,National Historic Site,4934694.0
PA,JOFL,Johnstown Flood National Memorial,National Memorial,4863668.0
MS,NATC,Natchez National Historical Park,National Historical Park,4818689.0
VI,CHRI,Christiansted National Historic Site,National Historic Site,4805816.0
WY,FOLA,Fort Laramie National Historic Site,National Historic Site,4764617.0
GU,WAPA,War in the Pacific National Historical Park,War in the Pacific,4752911.0
MA,ADAM,Adams National Historical Park,National Historical Park,4741356.0
AL,HOBE,Horseshoe Bend National Military Park,National Military Park,4656085.0
AR,FOSM,Fort Smith National Historic Site,National Historic Site,4642858.0
UT,NABR,Natural Bridges National Monument,National Monument,4509201.0
AZ,TUMA,Tumacacori National Historical Park,National Historical Park,4054113.0
AZ,CORO,Coronado National Memorial,National Memorial,3996485.0
AZ,CHIR,Chiricahua National Monument,National Monument,3962885.0
WV,GARI,Gauley River National Recreation Area,National Recreation Area,3962873.0
AZ,TONT,Tonto National Monument,National Monument,3955070.0
NM,AZRU,Aztec Ruins National Monument,National Monument,3941348.0
NM,CAVO,Capulin Volcano National Monument,National Monument,3878913.0
NY,GOIS,Governors Island National Monument,National Monument,3843259.0
NV,GRBA,Great Basin National Park,National Park,3770774.0
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site,3727887.0
MI,GRPO,Grand Portage National Monument,National Monument,3651067.0
TX,FODA,Fort Davis National Historic Site,National Historic Site,3536669.0
PA,EISE,Eisenhower National Historic Site,National Historic Site,3458807.0
AZ,NAVA,Navajo National Monument,National Monument,3399225.0
PA,STEA,Steamtown National Historic Site,National Historic Site,3345839.0
TX,BITH,Big Thicket National Preserve,National Preserve,3318511.0
NC,MOCR,Moores Creek National Battlefield,National Battlefield,3311344.0
CO,FLFO,Florissant Fossil Beds National Monument,National Monument,3227198.0
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park,3226903.0
NM,CHCU,Chaco Culture National Historical Park,National Historical Park,3201931.0
NM,ELMA,El Malpais National Monument,National Monument,3163814.0
AL,LIRI,Little River Canyon National Preserve,National Preserve,3162434.0
NY,FOST,Fort Stanwix National Monument,National Monument,3033233.0
MO,GWCA,George Washington Carver National Monument,National Monument,2901369.0
HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,2872043.0
NM,ELMO,El Morro National Monument,National Monument,2788508.0
AR,ARPO,Arkansas Post National Memorial,National Memorial,2709228.0
SC,CONG,Congaree National Park,National Park,2629690.0
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site,2586270.0
UT,GOSP,Golden Spike National Historic Site,National Historic Site,2532785.0
HI,KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,2523565.0
MT,BIHO,Big Hole National Battlefield,National Battlefield,2516553.0
AZ,PISP,Pipe Spring National Monument,National Monument,2456547.0
NE,HOME,Homestead National Monument of America,National Monument,2446917.0
VI,BUIS,Buck Island Reef National Monument,National Monument,2436890.0
PA,FLNI,Flight 93 National Memorial,National Memorial,2422983.0
NM,PETR,Petroglyph National Monument,National Monument,2363557.0
