messi,2005,solo,1
messi,2006,solo,1
messi,2007,solo,6
messi,2008,solo,7
messi,2009,solo,9
messi,2010,solo,12
messi,2011,solo,13
messi,2012,solo,26
messi,2013,solo,11
messi,2014,solo,17
messi,2015,solo,17
messi,2016,solo,14
messi,2017,solo,22
messi,2018,solo,13
messi,2019,solo,19
messi,2020,solo,13
ronaldo,2002,solo,3
ronaldo,2003,solo,1
ronaldo,2004,solo,2
ronaldo,2005,solo,1
ronaldo,2006,solo,7
ronaldo,2007,solo,12
ronaldo,2008,solo,15
ronaldo,2009,solo,14
ronaldo,2010,solo,20
ronaldo,2011,solo,16
ronaldo,2012,solo,20
ronaldo,2013,solo,16
ronaldo,2014,solo,18
ronaldo,2015,solo,16
ronaldo,2016,solo,11
ronaldo,2017,solo,12
ronaldo,2018,solo,15
ronaldo,2019,solo,7
ronaldo,2020,solo,19
messi,2005,assisted,2
messi,2006,assisted,9
messi,2007,assisted,19
messi,2008,assisted,13
messi,2009,assisted,29
messi,2010,assisted,46
messi,2011,assisted,42
messi,2012,assisted,53
messi,2013,assisted,28
messi,2014,assisted,33
messi,2015,assisted,31
messi,2016,assisted,37
messi,2017,assisted,28
messi,2018,assisted,34
messi,2019,assisted,26
messi,2020,assisted,13
ronaldo,2002,assisted,2
ronaldo,2004,assisted,4
ronaldo,2005,assisted,12
ronaldo,2006,assisted,12
ronaldo,2007,assisted,17
ronaldo,2008,assisted,19
ronaldo,2009,assisted,15
ronaldo,2010,assisted,25
ronaldo,2011,assisted,37
ronaldo,2012,assisted,38
ronaldo,2013,assisted,43
ronaldo,2014,assisted,38
ronaldo,2015,assisted,38
ronaldo,2016,assisted,31
ronaldo,2017,assisted,30
ronaldo,2018,assisted,28
ronaldo,2019,assisted,18
ronaldo,2020,assisted,22
ronaldo,2021,assisted,2
